Island,Station,distance,Av_Temp,Av_Salinity,Av_Chla
Pinzón,North,2,24.38328,34.74706666666667,6.721066666666666
Pinzón,North,5,25.113705882352942,34.66882352941177,5.28735294117647
Pinzón,North,10,25.152944444444444,34.66,4.992037037037037
Pinzón,West,2,24.7405,34.736451612903224,4.271451612903226
Pinzón,West,5,24.982833333333332,34.72212121212121,4.423939393939394
Pinzón,West,10,24.996218181818183,34.74545454545454,7.532
Pinzón,South,2,23.95327848101266,34.86974683544304,4.527848101265823
Pinzón,South,5,23.54962,34.8972,3.4324
Pinzón,South,10,24.50914285714286,34.81285714285714,4.008857142857143
Pinzón,East,2,24.577690721649486,34.77237113402062,6.303505154639176
Pinzón,East,5,24.36690625,34.8334375,11.1153125
Pinzón,East,10,24.333032258064517,34.7641935483871,10.477096774193548
Santa Cruz,North,2,25.08712121212121,34.72060606060606,16.153939393939392
Santa Cruz,North,5,24.965447368421053,34.747368421052634,12.095263157894736
Santa Cruz,North,10,25.50931707317073,34.64170731707317,8.29390243902439
Santa Cruz,West,2,26.095894736842105,34.69973684210526,6.887631578947368
Santa Cruz,West,5,25.737954545454546,34.69795454545454,7.664318181818182
Santa Cruz,West,10,26.071609756097562,34.73487804878049,9.718536585365854
Santa Cruz,South,2,26.664701754385966,34.78245614035088,10.29701754385965
Santa Cruz,South,5,25.222641025641025,35.04538461538461,10.885128205128206
Santa Cruz,South,10,26.200780487804877,34.57707317073171,9.96560975609756
Santa Cruz,East,2,27.025448275862068,34.63172413793104,9.377241379310345
Santa Cruz,East,5,27.121315789473684,34.61736842105263,7.960263157894737
Santa Cruz,East,10,26.888965517241378,34.62068965517241,9.790000000000001
Santa Fé,North,2,24.704255813953488,34.91593023255814,7.553837209302325
Santa Fé,North,5,24.712780487804878,34.94975609756098,9.212926829268293
Santa Fé,North,10,24.763263157894738,35.05921052631579,22.22
Santa Fé,West,2,25.44675,34.93571428571428,5.9055357142857146
Santa Fé,West,5,27.09710294117647,34.68323529411765,5.359411764705882
Santa Fé,West,10,26.894590163934428,34.6744262295082,5.545245901639344
Santa Fé,South,2,22.70006818181818,35.02136363636364,6.7272727272727275
Santa Fé,South,5,24.295479166666667,34.91104166666666,7.792083333333333
Santa Fé,South,10,24.594538461538463,35.10230769230769,7.826923076923077
Santa Fé,East,2,24.27503947368421,34.87263157894737,6.746842105263158
Santa Fé,East,5,25.830846153846153,34.73830769230769,5.951846153846154
Santa Fé,East,10,22.93532075471698,35.01867924528302,7.516792452830189
Seymour,North,2,26.48885185185185,34.67018518518518,7.482407407407408
Seymour,North,5,25.32474285714286,34.705714285714286,8.682
Seymour,North,10,27.024666666666665,34.57846153846154,5.868205128205128
Seymour,West,2,26.0825,34.66608695652174,12.269130434782609
Seymour,West,5,26.74848780487805,34.631951219512196,9.248780487804877
Seymour,West,10,26.75840909090909,34.609848484848484,8.413030303030304
Seymour,South,2,25.851560975609758,34.75243902439024,8.149024390243902
Seymour,South,5,25.499951219512194,34.75414634146342,9.028536585365854
Seymour,South,10,25.217290697674418,34.731162790697674,7.663837209302326
Seymour,East,2,24.2430625,34.798125,10.403125
Seymour,East,5,26.502411764705883,34.665,6.286764705882353
Seymour,East,10,25.262999999999998,34.69953488372093,8.04186046511628
